Unnamed: 0,Tweet,len,metrics,source
1880,i still_wait gov lefti sjw explain import 3rd world sponger complet useless us never work hate us yet expect us appeas everi way commit huge level crime etc benefit uk peopl,186,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 11, 'quote_count': 1}",Twitter for Android
1881,hate octob hate halloween,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1882,univers open soon look number_case realli dont_know,63,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1883,realli,6,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",twittbot.net
1884,look great far,15,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1885,good work ziggi anoth great season,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1886,thi right i think dude articul better i could in defens i coffe yet yeah nail man,93,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1887,joy delight amp raptur savour aris pleasur eat drink one_medit perfect condit joy one would becom full great bliss when yogi mental becom one incompar joy song amp object,197,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1888,even guy video better rahul_gandhi http_co 6d6c70be6d,54,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",Twitter for iPhone
1889,congratul_my king i love you guy so_much you_did it http_co glyvmpqsmp,79,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1890,all cat gif realli want get one hey,39,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
1891,inshaallah unit love_sush,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1892,at first glanc i thought widdecomb i sure full schedul glare omiss perhap easi obviou none busi realli i ought shut delet repli cheer,149,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPad
1893,no_wonder a_great day,21,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1894,sick hate,9,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1895,oh i sorri t_t flower virtual hope make u feel better http_co grfmcxuu5z,74,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1896,i sceptic meet 2c goal reason lot polit ir peopl sceptic challeng great incent unpromis i see detriment can explain,135,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
1897,have_seen new pandora nightmar befor christma charm i think like one xx http_co gpb1agd9o5,94,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1898,that hose shit love joe http_co 4jzg1gf468,43,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1899,awwwwn i love_u,15,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
1900,nigerian becom patriot reloc better land i wait join,60,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
1901,na ur region dey refer 5 er we bad countri what_terribl presidiot,67,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1902,you right thank pick mayb ursula stori_yesterday i think ivan would go twice but ursula stunt doubl also i think today well,129,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
1903,great mind think_alik,23,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1904,it_wa just yestersay at the coffe_day shop at moghalraajpuram vijayawada krishna distrist andhra pradesh south india i wa think of larg glass_amp coke amp lemon amp long straw alright anyway amazon will_have them um cbi bombay west india nation amp love amp happi amp http_co cvgre9r33v,295,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1905,cn realli realllyyyy close hit 200m pleas http_co tjfyx4yr8r reallly,67,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1906,myanmar realli help bangladeshi civil_war it would nice_came clean wahabi infiltr commun radicalis children amp spread islamist terror region http_co ikjat9mppd,184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter Web App
1907,i love pic she got thing go http_co 9pzmmr7ux2,50,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
1908,so wait even new but quiet along consid goal state tweet relat silenc realli blame ugandan internet user spread_fake news_internet,144,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for Android
1909,some_new stuff great,20,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1910,bad_hbu,7,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1911,sound great where i sign,25,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1912,on occas great delight obtain occas delight aris see friend rel long_time one_medit delight arisen becom absorb identifi when one experi expans,178,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1913,me stop_talk fell_love 2 month_ago now bwazazad,54,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1914,send_much love,17,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1915,just show greenwood one gener talent i bet play midfield well even pogba suffer misus we think super versatil he prefer play 8 but play deep that point just like play rashford rw,197,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1916,love kalyjay squad,18,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1917,those player top coupl_year s1mple perform great sinc flipsid day he turn liquid tier 1 team hope na now solo carri navi he boat or goat far,154,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 6, 'quote_count': 0}",Twitter Web App
1918,nice music great song i realli love,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1919,thank you mistress you make all live much better you special everi way i love preciou feet much,97,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1920,provid outstand breast cancer care mum dr gibb miss helm go_beyond help understand feel_safe hand i abl daughter tri doctor beauti gift thank,158,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1921,unfit you wore wire can even think so whose unfit trump2020,59,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1922,love song girl never_know http_co ahh4sf5sku,45,"{'retweet_count': 52, 'reply_count': 24, 'like_count': 161, 'quote_count': 3}",Twitter for iPhone
1923,democrat amp media think black american amp american gener stupid we know anarchist antifa amp marxist blm org caus violenc us across america_yet dem amp media push fake racist amp proud_boy narr deflect primari law amp order concern http_co mhcx4im1jf,271,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1924,i get us_citizen fault hate govern much,43,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1925,me geek octob and all mutual friend realli wait christma http_co x14ypoy5j3,86,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1926,you alway tellin go go_ahead get see world but i think i i rather stay_home cri gwen stefani,93,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",timebot
1927,rise case hometown there suspect among student school nearbi hous feel scare say yeet,93,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
1928,morn clara great_day x,25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
1929,when i love adam fan i thought import understand respect want thank guid read adam thought,99,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1930,condol love light you heart,32,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1931,thank lau love_u,16,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1932,u elitist whatev unapologet peopl love accept good bad side need chang want blend everyon want standout alreadi standout keep go,144,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1933,gawr gura great surfboard tbh,29,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
1934,ooh love get never talk share server great,45,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1935,by ban pesticid redirect money industri agricultur agroecolog organ farm could truli support farmer food secur biodivers recoveri all_info envis better http_co jjotbzx8k9 http_co vmnk8eqpjm,219,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1936,as realli mad,13,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1937,oh_my god i think i_m in love with you,38,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
1938,editori good_deed shine bright gloom pandem saltwir http_co 5qmc39y0oz,77,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Echobox
1939,make_account liter ship_name i like attempt drag us suppos make erl look better it make look wors http_co 4rgddwhaup,127,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for Android
1940,yeah like i mind lexa come_back either know clark bare mention_way sinc season 5 realli made_littl sens kind turn charact sort pathet,149,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1941,love see,8,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1942,it hard pretend love someon harder pretend love someon realli,64,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1943,i know realli fandom decid instal tiktok vote,50,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1944,you realli need game,20,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1945,i think i gonna kin like 25ji wtf mizuki realli i say yeah im good beat later i heard shit behind_back if gonna_say say face i trust honest bitch,147,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
1946,i love you sr,14,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
1947,veri cool i love wildlif central fl,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1948,i hate,6,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1949,a1 question build i use love play lego brother head dad shed build thing it alway learn ask http_co mahhsnk1bb,131,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 12, 'quote_count': 0}",Twitter for iPhone
1950,sorri i hate joop,17,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for iPad
1951,think know forev think see someth chang http_co v72whbmiod http_co 3e6iwlsasz,85,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",SocialMediaServer
1952,he save_live sound ungrat extrem_selfish it better in nsw or qld,75,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
1953,hmm hensheng infact better compani sword,41,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1954,great work region pleas get fli flag http_co mfluw2lr1f,58,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1955,idk im feel right,20,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1956,fantast_song sonakshi sinha great music love,46,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1957,repli direct tweet someth appreci love,44,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1958,classic jose u hate http_co 3dambzhsmk,39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1959,i love beauti red gold orang leav cooler air sunset sea virtual empti beach gener quieten happen plu event cosi fire hous weald amp downland,162,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1960,don loos_hope countri e_go better nigeriaat60,46,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",Twitter for Android
1961,omg bad_actor,13,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1962,my_favorit album thi_song realli give feel miss someon http_co emxqhhkgxr,84,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1963,would love see get smoke josh taylor yeno,42,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1964,how_mani time_potu answer_question hate_group http_co ozj1hlioti,69,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1965,queenin de dedigi gibi so think stone spit eye think love leav die yani diyo ki bok oyl bi sey olur,101,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter Web App
1966,tf i think i found my other self http_co aqmgw7yif,52,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1967,we american freedom think term week month get thing amazingli accomplish communist look block decad,110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1968,i also use mayb almost year feel_like recent issu,55,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1969,if someon would love share curs child tabl read i total open i love watch thank much,90,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1970,i gonna draw someth evil villaini bad match feel rn lh,64,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1971,can think_abt skirt cat_ear next,34,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
1972,no right i think scam,21,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1973,don realli care tbf least amateur fight,40,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 30, 'quote_count': 0}",Twitter for Android
1974,wa go point percentag definit nonc perv kid would ensur liter gener i think everi school i attend teacher fire abus point turn slipknot right peopl shit,180,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1975,ew ew pleas i feel_like overthink thing_ruin day help pleas i hate,75,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1976,omggg leah biggest_fan even look mess know u put hard_work alway love omg,73,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1977,we moral duti follow_rule whether like although covid act danger open abus govern i think see seriou take stanley_johnson break said rule,151,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1978,realli interest read biosecur polit giorgio agamben http_co 43nefjtkxg,80,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1979,god hate listen famili talk polit,39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
1980,common core accid think,26,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1981,holli phil better watch back http_co 3zqiltzbpb,49,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Fanbooster by Traject
1982,i sorri terribl horribl moment beauti boy send_love prayer,66,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1983,chrissi word anyth i send_love x,39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1984,realli how i start share cat pic will work http_co jqvfouyyr3,65,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
1985,sir hear consum whi consid wish we eagerli wait i look phone better spec 30k seem choic poco someth anyon_els,134,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1986,yea op pace whew love show also hate patient sum action,57,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1987,no better buachail enjoy,25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
1988,thi great post realli interest reson mani level http_co onqxgcofqz,76,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
1989,y use ship frustrat girl go look love life leav thing,55,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1990,even day i realli unmotiv i push i allow feel dictat i,64,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1991,also rememb great grand farther like mani_other yoruba brazilian left bahia turn centuri head back home thi photo_taken 1904 becam trader translat portugues yourba the ship marina lago http_co 9kh3hwyzww,223,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",Twitter for iPhone
1992,18 again record youth alic love revolut zombi detect do you like bhram bingung banget mau nonton drama go tuh,121,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 2, 'quote_count': 0}",Twitter for Android
1993,omo freak best love http_co lohfh1mfii,42,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
1994,well person think harder loos partner friendship,51,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1995,i mad umm think mad,19,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1996,tast love,10,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
1997,triffani_ligawan stage_troy tiffani_love od,43,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1998,someth tell becom fashion i love way dress eye,54,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1999,pretti_sure i know talk i feel exact,39,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
2000,ye it hasti like i think jeremi_corbyn could bought one attend dinner might,79,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPad
2001,premium leisur want artwork tie lyric video approach good friend illustr robbi dawson pull idea togeth realli_nice origin style frame tarot card littl anim http_co qnzwthilpz,202,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2002,as_much singl handedli help i perform govern structur optic narr better failur solv_problem alway curat problem away i get point shizi,155,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
2003,i disgust discharg undi sinc tiktok ob tell natur mom realli like child lil traumat innit,104,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for Android
2004,i know feel late,21,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
2005,no love brian ars,18,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
2006,i think time good avgn http_co dlcg7eepyd,44,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 24, 'quote_count': 0}",Twitter for Android
2007,deobisiari great,16,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2008,such respect farmer love land speak vest interest worship mighti dollar environ thank pleas tri_keep go,115,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2009,feel_faint http_co qi0a7z1slm,30,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2010,even god amp celesti be ever think ask will i die the god far interest meticul clean fine porcelain saucer amp silver spoon exquisit brew tea amp entranc music http_co eoqpcavmvu,207,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2011,thi realli great_news shame two lost year signific step forward accept inclus oxford launch black scholarship scheme snub rapper stormzi http_co 1pdwfxk84j via,178,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2012,lesser_two evil neither man_fit presid numer reason other but think evil will deal next 4_year go come,118,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
2013,i think tri hardest first first ladi divorc mid term,56,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2014,unless ever walk hospit babi clue pain famili feel right let deal grief want keep view,92,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}",Twitter for Android
2015,dear sir what go countri feel_like live gundaraj govern whether famili safe countri i request take_presidenti charg work ground come power you one hope countri deserv pm,183,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2016,greatest 100 romant guitar old beauti love song 80 relax e http_co wunzb6rkgd via,92,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2017,i feel_like adio type spoiler,30,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",TweetDeck
2018,i think proper test_trace system place peopl properli encourag obey rule mask_wash hand social_distanc need restrict lockdown peopl would also feel safer go_doctor hospit http_co lipsaxnpgp,212,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2019,i know celebr given perfect reason make anoth_one great idea coffe lover store check http_co 9dljpwxydk,113,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter Web App
2020,great hear,10,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
2021,in latest podcast i chat bay_citi roller life roller time rescu fan drown hint excit futur project roller fan love http_co ql0sz1bagd,146,"{'retweet_count': 8, 'reply_count': 3, 'like_count': 23, 'quote_count': 3}",Twitter for Android
2022,nightmar aveng sevenfold wish i recognis fuckin movin out billi joel ragtim fell_in love with a_girl fuck life,115,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
2023,becaus pointless excus ignor fear violenc protest face it mental masturb dude it serv zero purpos divert real issu complet wast_time,154,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
2024,that guy look_like smell_like brat fart blood i think goal like i would prefer_look like smelli vike lol http_co qdamfmxxt,130,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2025,what even better find unicorn whose good take pictur ha 3 photo_shoot i truli found one,95,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
2026,my_first amp last hero dad he taught hard_work serv other amp talk pillow night pray he gave coach basketbal i would love game selfless happi_birthday legaci live miss go_gym rih http_co 10pyy7hpoo,211,"{'retweet_count': 6, 'reply_count': 4, 'like_count': 89, 'quote_count': 0}",Twitter for iPhone
2027,i lucki get know two love bird ow nooo i mean sun sunflow no,60,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
2028,hahaha fuck love http_co 6tqqqs4sjv,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2029,i love live avana point http_co p64dlvfi3o reward,54,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2030,do candi sore_throat and drink lot water medicin go_bed i hope better_soon,75,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
2031,haven ppl learn say white_ppl news riot loot burn we_need stop_shove racism kid throat start think one race kid_taught hate,140,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2032,see bit realli doe simul real_life event hahaha,52,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Tweetbot for Mac
2033,we quit challeng famili love patienc resili advocaci hope roll one gorgeou grand girl,97,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPad
2034,ㅤㅤ weather realli_nice wind never_stop blow turn show photoshoot summer packag look jinsoul eonni sparkl eye neomu pretti right member busi turn hehe ㅤㅤ http_co zbpjblwipc,180,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
2035,it_96th birthday_former presid_carter happi_birthday ser_former presid_carter it great health_mainten live 10_year http_co rug43r7afr,145,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",Twitter Web App
2036,love a favourit releas year gorgeou,38,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2037,amen prayer i hate word shame noth like shame erica born star,64,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
2038,nigga think simpl lol,23,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
2039,my princ run_late know i wait angri face,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
2040,oh bro polit conduct up cop govt media tri_hide case public the delay regist fir think polit how_long happen up,131,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for Android
2041,great_initi key_slovak stakehold_domain came_togeth alongsid_produc joint_statement commit_protect integr_sport see http_co eohqeknm3d amp http_co rc61kuoq48 http_co l1zrn1hxzw,201,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",Twitter Web App
2042,even darkest hour unit armi women partner spread love persever say http_co c6zcf94a3e,95,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 22, 'quote_count': 2}",Echobox
2043,report like respons lot bad thing countri,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2044,hi i total_agre oladosu becom great shini woman alreadi referr point everi climat ecolog activist humbl include,128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
2045,don think even got neck,23,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for Android
